id,text,created_at
1218320644925984769,"@user_467 @user_503 Find the blarney stone

They got hot cider at the bar!!

#Newfoundland 
#MotherNature",Fri Jan 17 23:54:11 +0000 2020
1218320610759192582,Out plowing at 2 PM today and the snow was up to the door handles on a F350! I can only imagine how much snow we ar… https://t.co/6wmfPKdN7Y,Fri Jan 17 23:54:03 +0000 2020
1218320494241484800,"Adam Schiff is tough
they don't like tough
Nancy Pelosi is tough
they don't like tough
So they try to demonize

Jus… https://t.co/Hx4Fm5drEh",Fri Jan 17 23:53:35 +0000 2020
1218320426843234305,Tonight's #stormageddon2020 storm beer is a @user_102 Long Pond Blonde. 🍺 https://t.co/N0PTA2XRkj,Fri Jan 17 23:53:19 +0000 2020
1218320426608316417,"I can’t get out of my door...
#nlblizzard2020 #nlwx #Newfoundland https://t.co/SsUhzPIg0x",Fri Jan 17 23:53:19 +0000 2020
1218320425652039686,"@user_1969 Hey can't wait to see the show on Sunday in St John's, got my Tauntaun all saddled up!!!  #nlwx #snowmaggedon2020",Fri Jan 17 23:53:19 +0000 2020
1218320413563944966,@user_313 😱😱😱 #StateOfEmergency #nlstorm,Fri Jan 17 23:53:16 +0000 2020
1218320402528841728,5’ snow dunes #snowmaggedon2020 #nlwx https://t.co/9u7Etf1AEt,Fri Jan 17 23:53:13 +0000 2020
1218320374720532487,Our steps have disappeared #snowmageddon2020 #nlweather https://t.co/XqwEoy8Sl5,Fri Jan 17 23:53:07 +0000 2020
1218320366789066753,"Not every hero wears a cape...
#StateofEmergency 
#nlblizzard2020 
#nlstorm 
#FirstResponders 🇨🇦 https://t.co/b79LNXBhtq",Fri Jan 17 23:53:05 +0000 2020
1218320349907116032,Some weather thing just popped up on my phone - 40 per cent chance of snow.  Crazy understatement. #nlwx @user_2342,Fri Jan 17 23:53:01 +0000 2020
1218320326502776834,Where ever you are be safe.  Cold...#snowmaggedon2020,Fri Jan 17 23:52:55 +0000 2020
1218320306172858368,To all of my #Newfoundland friends please stay warm and safe 💗💗,Fri Jan 17 23:52:50 +0000 2020
